,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
T559,E.J. Liddell,BKN,F,8,2.9,0.5,0.6,0.1,0.3,0.3,0.0,16.7,100.0,0.3,0.6,0.0,0.1,0.8,0.3,0.3,0.0,0.0,0.3,2.7
561,Pete Nance,MIL,C,8,3.4,0.4,0.4,0.0,0.1,0.0,0.1,16.7,0.0,0.1,0.1,100.0,0.1,0.8,0.0,0.3,0.0,0.0,0.3,1.1
562,Maxwell Lewis,FA,F,34,3.0,0.3,0.1,0.2,0.1,0.0,0.0,19.0,66.7,0.3,0.3,11.1,0.1,0.6,0.1,0.1,0.0,0.0,0.1,0.7
T563,Ryan Arcidiacono,FA,G,20,2.2,0.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,1.0
T563,Danny Green,FA,G,2,9.5,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,3.5
T563,Kaiser Gates,FA,F,1,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.2
T563,Justin Jackson,FA,F,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T563,Javonte Smart,FA,G,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T563,Ron Harper,BOS,F,1,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5
T563,Jalen Crutcher,ORL,G,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T563,Dmytro Skapintsev,FA,C,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
T563,Malcolm Cazalon,FA,G,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T563,Andrew Funk,FA,G,5,2.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.2
