"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Keldon Johnson","SAS","PF,SF","12.1","4.0","1.7","0.2","0.6",".471",".772","1.2","76","22.8","1.0"
"Onyeka Okongwu","ATL","C","12.1","8.4","1.9","1.0","0.9",".593",".767","0.5","77","26.7","1.2"
"Donte DiVincenzo","MIN","PG,SG","12.0","3.8","3.5","0.3","1.3",".430",".777","2.7","75","27.0","1.5"
"Walter Clayton","UTH","PG,SG","12.0","2.0","4.0","0.2","0.8",".434",".808","1.4","75","24.2","2.5"
"Christian Braun","DEN","SG,SF","11.8","4.4","2.1","0.4","0.9",".541",".778","1.0","78","28.5","0.8"
"Obi Toppin","IND","PF","11.8","4.6","1.9","0.5","0.7",".521",".775","1.6","78","23.3","1.0"
"Ty Jerome","MEM","PG,SG","11.8","2.5","3.4","0.1","1.0",".504",".888","1.4","75","19.9","1.3"
"Matas Buzelis","CHI","SF,PF","11.8","4.6","1.4","1.2","0.5",".452",".813","1.6","77","26.6","1.3"
"Malcolm Brogdon","FA","PG,SG OUT","11.8","3.3","3.5","0.2","0.5",".453",".866","1.1","66","22.4","1.3"
"Josh Hart","NYK","PF,SF,SG","11.8","8.7","5.0","0.3","1.3",".509",".768","1.0","76","35.8","1.8"
"Andrew Nembhard","IND","PG,SG","11.7","3.3","5.9","0.2","1.3",".467",".798","1.1","75","31.6","1.9"
"Nic Claxton","BKN","C","11.6","8.3","2.5","1.7","0.9",".606",".533","0.0","76","29.0","1.2"
"Ayo Dosunmu","CHI","SF,SG DTD","11.4","3.1","3.8","0.4","0.8",".493",".797","1.3","72","29.6","1.4"
"Jabari Smith Jr.","HOU","PF,C","11.4","6.4","1.1","0.7","0.4",".444",".813","1.6","73","27.4","1.0"
"Brandin Podziemski","GSW","PG,SG","11.3","5.7","3.6","0.2","1.1",".439",".718","1.7","75","28.7","1.3"
"Khris Middleton","WAS","PF,SF,SG OUT","11.3","3.6","4.0","0.2","0.8",".458",".863","1.3","70","22.3","1.7"
"Caris LeVert","DET","SG,SF","11.2","3.4","3.3","0.5","0.9",".436",".728","1.4","74","24.7","1.3"
