,,,Stats,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
137,Kel'el Ware,MIA,64,1418,595,473,60,39,71,35,55.4,68.7,-0.42,-1.28,0.49,-1.37,-1.22,0.85,-1.20,0.79,-0.40
138,Mark Williams,CHA,44,1168,671,447,109,32,54,0,60.4,80.4,-0.42,-1.09,0.34,-1.04,-1.49,0.32,-1.69,1.25,0.05
139,Max Christie,DAL/LAL,78,2125,749,258,146,64,31,115,42.7,85.5,-0.42,-0.89,-0.73,-0.79,-0.26,-0.38,-0.07,-0.64,0.41
140,Keon Johnson,BKN,79,1925,839,296,175,82,30,126,38.9,77.0,-0.42,-0.67,-0.52,-0.59,0.43,-0.42,0.08,-1.52,-0.19
141,Derrick Jones,LAC,77,1871,781,263,60,79,33,78,52.6,70.3,-0.43,-0.81,-0.70,-1.37,0.32,-0.32,-0.59,0.62,-0.55
142,Isaiah Stewart,DET,72,1432,435,399,123,28,101,17,55.9,75.9,-0.43,-1.68,0.07,-0.94,-1.65,1.78,-1.45,0.61,-0.20
143,Kristaps Porzingis,BOS,42,1207,818,284,87,31,63,103,48.3,80.9,-0.43,-0.72,-0.58,-1.19,-1.53,0.60,-0.24,0.07,0.13
144,Keldon Johnson,SAS,77,1831,979,371,125,49,22,87,48.2,77.3,-0.43,-0.32,-0.09,-0.93,-0.84,-0.66,-0.47,0.04,-0.21
145,Donovan Clingan,POR,67,1325,436,527,77,34,110,14,53.9,59.6,-0.44,-1.68,0.79,-1.26,-1.41,2.05,-1.49,0.49,-1.02
146,Andrew Nembhard,IND,65,1882,653,216,326,79,11,51,45.8,79.4,-0.45,-1.13,-0.97,0.44,0.32,-1.00,-0.97,-0.21,-0.03
147,Kevin Porter,LAC/MIL,75,1482,771,278,256,81,13,55,44.9,76.9,-0.45,-0.84,-0.62,-0.04,0.39,-0.94,-0.92,-0.40,-0.22
148,Scoot Henderson,POR,66,1760,837,198,335,68,13,105,41.9,76.7,-0.46,-0.67,-1.07,0.50,-0.11,-0.94,-0.21,-0.88,-0.28
149,John Collins,UTA,40,1219,758,327,80,39,40,59,52.7,84.8,-0.46,-0.87,-0.34,-1.24,-1.22,-0.11,-0.86,0.59,0.39
150,Ausar Thompson,DET,59,1329,594,303,134,98,40,11,53.5,64.1,-0.46,-1.28,-0.48,-0.87,1.05,-0.11,-1.53,0.60,-1.06
151,Davion Mitchell,MIA/TOR,74,2027,588,167,363,72,16,84,46.8,69.0,-0.46,-1.30,-1.24,0.69,0.05,-0.85,-0.51,-0.07,-0.46
152,Jalen Johnson,ATL,36,1285,680,359,181,56,36,44,50.0,74.6,-0.46,-1.06,-0.16,-0.55,-0.57,-0.23,-1.07,0.28,-0.32
153,Bilal Coulibaly,WAS,59,1948,727,294,199,78,41,63,42.1,74.6,-0.46,-0.95,-0.53,-0.43,0.28,-0.08,-0.80,-0.75,-0.44
154,Gary Trent,MIL,74,1890,824,168,87,72,4,180,43.1,84.8,-0.49,-0.70,-1.24,-1.19,0.05,-1.22,0.84,-0.67,0.19
155,Kyshawn George,WAS,68,1800,590,285,169,68,50,114,37.2,75.3,-0.49,-1.29,-0.58,-0.63,-0.11,0.20,-0.09,-1.23,-0.23
156,Caris LeVert,ATL/CLE,64,1592,776,203,215,57,33,106,46.7,71.0,-0.50,-0.82,-1.04,-0.32,-0.53,-0.32,-0.20,-0.13,-0.65
157,Al Horford,BOS,60,1659,538,369,128,36,51,114,42.3,89.5,-0.50,-1.42,-0.10,-0.91,-1.34,0.23,-0.09,-0.51,0.12
